,concept,type,process_desc,subconcept,content,infos
0,plan Risk_Management ,inputs,"project risk management includes the processes of conducting risk management planning, identification, 
analysis, response planning, and controlling risk on a project. the objectives of project risk management are to 
increase the likelihood and impact of positive events, and decrease the likelihood and impact of negative events 
in the project.
figure 11-1 provides an overview of the project risk management processes, which are as follows:
11.1  plan risk management—the process of defining how to conduct risk management activities for a 
project.
11.2  identify risks—the process of determining which risks may affect the project and documenting 

their characteristics.
11.3  perform qualitative risk analysis—the process of prioritizing risks for further analysis or action 
by assessing and combining their probability of occurrence and impact.
11.4  perform quantitative risk analysis—the process of numerically analyzing the effect of identified 
risks on overall project objectives.
11.5  plan risk responses—the process of developing options and actions to enhance opportunities and 
to reduce threats to project objectives.
11.6  control risks—the process of implementing risk response plans, tracking identified risks, monitoring 
residual risks, identifying new risks, and evaluating risk process effectiveness throughout the project.
these processes interact with each other and with processes in other knowledge areas as described in detail 
in section 3 and annex a1.
project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on one or 
more project objectives such as scope, schedule, cost, and quality. a risk may have one or more causes and, 
if it occurs, it may have one or more impacts. a cause may be a given or potential requirement, assumption, 
constraint, or condition that creates the possibility of negative or positive outcomes. for example, causes could 
include the requirement of an environmental permit to do work, or having limited personnel assigned to design the 
project. the risk is that the permitting agency may take longer than planned to issue a permit; or, in the case of 
an opportunity, additional development personnel may become available who can participate in design, and they 
can be assigned to the project. if either of these uncertain events occurs, there may be an impact on the project, 
scope, cost, schedule, quality, or performance. risk conditions may include aspects of the project or organization 
environment that contribute to project risksuch as immature project management practices, lack of integrated 
management systems, concurrent multiple projects, or dependency on external participants who are outside the 
project direct control.
project risk has its origins in the uncertainty present in all projects. known risks are those that have been 
identified and analyzed, making it possible to plan responses for those risks. known risks that cannot be managed 
proactively, should be assigned a contingency reserve. unknown risks cannot be managed proactively and therefore 
may be assigned a management reserve. a negative project risk that has occurred is considered an issue.
individual project risks are different from overall project risk. overall project risk represents the effect of 
uncertainty on the project as a whole. it is more than the sum of the individual risks within a project, since it includes 
all sources of project uncertainty. it represents the exposure of stakeholders to the implications of variations in 
project outcome, both positive and negative.
organizations perceive risk as the effect of uncertainty on projects and organizational objectives. organizations 
and stakeholders are willing to accept varying degrees of risk depending on their risk attitude. the risk attitudes of 
both the organization and the stakeholders may be influenced by a number of factors, which are broadly classified 
into three themes:
•	 risk appetite, which is the degree of uncertainty an entity is willing to take on in anticipation of a reward.
•	  risk tolerance, which is the degree, amount, or volume of risk that an organization or individual will 
withstand.
•	  risk threshold, which refers to measures along the level of uncertainty or the level of impact at which a 
stakeholder may have a specific interest below that risk threshold, the organization will accept the risk. 
above that risk threshold, the organization will not tolerate the risk.
for example, an organization risk attitude may include its appetite for uncertainty, its threshold for risk levels 
that are unacceptable, or its risk tolerance at which point the organization may select a different risk response.
positive and negative risks are commonly referred to as opportunities and threats. the project may be accepted 
if the risks are within tolerances and are in balance with the rewards that may be gained by taking the risks. positive 
risks that offer opportunities within the limits of risk tolerances may be pursued in order to generate enhanced 
value. for example, adopting an aggressive resource optimization technique is a risk taken in anticipation of a 
reward for using fewer resources.
individuals and groups adopt attitudes toward risk that influence the way they respond. these risk attitudes are 

driven by perception, tolerances, and other biases, which should be made explicit wherever possible. a consistent 
approach to risk should be developed for each project, and communication about risk and its handling should 
be open and honest. risk responses reflect an organization perceived balance between risk taking and risk 
avoidance.
to be successful, an organization should be committed to address risk management proactively and consistently 
throughout the project. a conscious choice should be made at all levels of the organization to actively identify and 
pursue effective risk management during the life of the project. project risk could exist at the moment a project 
is initiated. moving forward on a project without a proactive focus on risk management is likely to lead to more 
problems arising from unmanaged threats.
1.1 plan risk management
plan risk management is the process of defining how to conduct risk management activities for a project. the 
key benefit of this process is it ensures that the degree, type, and visibility of risk management are commensurate 
with both the risks and the importance of the project to the organization. the risk management plan is vital to 
communicate with and obtain agreement and support from all stakeholders to ensure the risk management process 
is supported and performed effectively over the project life cycle. the inputs, tools and techniques, and outputs of 
this process are depicted in figure 11-2. figure 11-3 depicts the data flow diagram of the process.
careful and explicit planning enhances the probability of success for other risk management processes. planning 
is also important to provide sufficient resources and time for risk management activities and to establish an agreed-
upon basis for evaluating risks. the plan risk management process should begin when a project is conceived and 
should be completed early during project planning.",Project_Management_Plan,"in planning Risk_Management, all approved Subsidiary_Management_Plans and baselines should be taken into consideration in order to make the Risk_Management_Plan consistent with them. the Risk_Management_Plan is also a component of the Project_Management_Plan. the Project_Management_Plan provides baseline or current state of riskaffected areas including scope, schedule, and cost .",{}
1,plan Risk_Management ,inputs,"project risk management includes the processes of conducting risk management planning, identification, 
analysis, response planning, and controlling risk on a project. the objectives of project risk management are to 
increase the likelihood and impact of positive events, and decrease the likelihood and impact of negative events 
in the project.
figure 11-1 provides an overview of the project risk management processes, which are as follows:
11.1  plan risk management—the process of defining how to conduct risk management activities for a 
project.
11.2  identify risks—the process of determining which risks may affect the project and documenting 

their characteristics.
11.3  perform qualitative risk analysis—the process of prioritizing risks for further analysis or action 
by assessing and combining their probability of occurrence and impact.
11.4  perform quantitative risk analysis—the process of numerically analyzing the effect of identified 
risks on overall project objectives.
11.5  plan risk responses—the process of developing options and actions to enhance opportunities and 
to reduce threats to project objectives.
11.6  control risks—the process of implementing risk response plans, tracking identified risks, monitoring 
residual risks, identifying new risks, and evaluating risk process effectiveness throughout the project.
these processes interact with each other and with processes in other knowledge areas as described in detail 
in section 3 and annex a1.
project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on one or 
more project objectives such as scope, schedule, cost, and quality. a risk may have one or more causes and, 
if it occurs, it may have one or more impacts. a cause may be a given or potential requirement, assumption, 
constraint, or condition that creates the possibility of negative or positive outcomes. for example, causes could 
include the requirement of an environmental permit to do work, or having limited personnel assigned to design the 
project. the risk is that the permitting agency may take longer than planned to issue a permit; or, in the case of 
an opportunity, additional development personnel may become available who can participate in design, and they 
can be assigned to the project. if either of these uncertain events occurs, there may be an impact on the project, 
scope, cost, schedule, quality, or performance. risk conditions may include aspects of the project or organization 
environment that contribute to project risksuch as immature project management practices, lack of integrated 
management systems, concurrent multiple projects, or dependency on external participants who are outside the 
project direct control.
project risk has its origins in the uncertainty present in all projects. known risks are those that have been 
identified and analyzed, making it possible to plan responses for those risks. known risks that cannot be managed 
proactively, should be assigned a contingency reserve. unknown risks cannot be managed proactively and therefore 
may be assigned a management reserve. a negative project risk that has occurred is considered an issue.
individual project risks are different from overall project risk. overall project risk represents the effect of 
uncertainty on the project as a whole. it is more than the sum of the individual risks within a project, since it includes 
all sources of project uncertainty. it represents the exposure of stakeholders to the implications of variations in 
project outcome, both positive and negative.
organizations perceive risk as the effect of uncertainty on projects and organizational objectives. organizations 
and stakeholders are willing to accept varying degrees of risk depending on their risk attitude. the risk attitudes of 
both the organization and the stakeholders may be influenced by a number of factors, which are broadly classified 
into three themes:
•	 risk appetite, which is the degree of uncertainty an entity is willing to take on in anticipation of a reward.
•	  risk tolerance, which is the degree, amount, or volume of risk that an organization or individual will 
withstand.
•	  risk threshold, which refers to measures along the level of uncertainty or the level of impact at which a 
stakeholder may have a specific interest below that risk threshold, the organization will accept the risk. 
above that risk threshold, the organization will not tolerate the risk.
for example, an organization risk attitude may include its appetite for uncertainty, its threshold for risk levels 
that are unacceptable, or its risk tolerance at which point the organization may select a different risk response.
positive and negative risks are commonly referred to as opportunities and threats. the project may be accepted 
if the risks are within tolerances and are in balance with the rewards that may be gained by taking the risks. positive 
risks that offer opportunities within the limits of risk tolerances may be pursued in order to generate enhanced 
value. for example, adopting an aggressive resource optimization technique is a risk taken in anticipation of a 
reward for using fewer resources.
individuals and groups adopt attitudes toward risk that influence the way they respond. these risk attitudes are 

driven by perception, tolerances, and other biases, which should be made explicit wherever possible. a consistent 
approach to risk should be developed for each project, and communication about risk and its handling should 
be open and honest. risk responses reflect an organization perceived balance between risk taking and risk 
avoidance.
to be successful, an organization should be committed to address risk management proactively and consistently 
throughout the project. a conscious choice should be made at all levels of the organization to actively identify and 
pursue effective risk management during the life of the project. project risk could exist at the moment a project 
is initiated. moving forward on a project without a proactive focus on risk management is likely to lead to more 
problems arising from unmanaged threats.
1.1 plan risk management
plan risk management is the process of defining how to conduct risk management activities for a project. the 
key benefit of this process is it ensures that the degree, type, and visibility of risk management are commensurate 
with both the risks and the importance of the project to the organization. the risk management plan is vital to 
communicate with and obtain agreement and support from all stakeholders to ensure the risk management process 
is supported and performed effectively over the project life cycle. the inputs, tools and techniques, and outputs of 
this process are depicted in figure 11-2. figure 11-3 depicts the data flow diagram of the process.
careful and explicit planning enhances the probability of success for other risk management processes. planning 
is also important to provide sufficient resources and time for risk management activities and to establish an agreed-
upon basis for evaluating risks. the plan risk management process should begin when a project is conceived and 
should be completed early during project planning.",Project_Charter,the Project_Charter can provide various inputs such as Highlevel_Risks .. the Project_Charter can provide various inputs such as Highlevel_Project_Descriptions .. the Project_Charter can provide various inputs such as Highlevel_Requirements .,"{0: {'about': 'project charter', 'description': 'described in section 4.1.3.1. '}}"
2,plan Risk_Management ,inputs,"project risk management includes the processes of conducting risk management planning, identification, 
analysis, response planning, and controlling risk on a project. the objectives of project risk management are to 
increase the likelihood and impact of positive events, and decrease the likelihood and impact of negative events 
in the project.
figure 11-1 provides an overview of the project risk management processes, which are as follows:
11.1  plan risk management—the process of defining how to conduct risk management activities for a 
project.
11.2  identify risks—the process of determining which risks may affect the project and documenting 

their characteristics.
11.3  perform qualitative risk analysis—the process of prioritizing risks for further analysis or action 
by assessing and combining their probability of occurrence and impact.
11.4  perform quantitative risk analysis—the process of numerically analyzing the effect of identified 
risks on overall project objectives.
11.5  plan risk responses—the process of developing options and actions to enhance opportunities and 
to reduce threats to project objectives.
11.6  control risks—the process of implementing risk response plans, tracking identified risks, monitoring 
residual risks, identifying new risks, and evaluating risk process effectiveness throughout the project.
these processes interact with each other and with processes in other knowledge areas as described in detail 
in section 3 and annex a1.
project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on one or 
more project objectives such as scope, schedule, cost, and quality. a risk may have one or more causes and, 
if it occurs, it may have one or more impacts. a cause may be a given or potential requirement, assumption, 
constraint, or condition that creates the possibility of negative or positive outcomes. for example, causes could 
include the requirement of an environmental permit to do work, or having limited personnel assigned to design the 
project. the risk is that the permitting agency may take longer than planned to issue a permit; or, in the case of 
an opportunity, additional development personnel may become available who can participate in design, and they 
can be assigned to the project. if either of these uncertain events occurs, there may be an impact on the project, 
scope, cost, schedule, quality, or performance. risk conditions may include aspects of the project or organization 
environment that contribute to project risksuch as immature project management practices, lack of integrated 
management systems, concurrent multiple projects, or dependency on external participants who are outside the 
project direct control.
project risk has its origins in the uncertainty present in all projects. known risks are those that have been 
identified and analyzed, making it possible to plan responses for those risks. known risks that cannot be managed 
proactively, should be assigned a contingency reserve. unknown risks cannot be managed proactively and therefore 
may be assigned a management reserve. a negative project risk that has occurred is considered an issue.
individual project risks are different from overall project risk. overall project risk represents the effect of 
uncertainty on the project as a whole. it is more than the sum of the individual risks within a project, since it includes 
all sources of project uncertainty. it represents the exposure of stakeholders to the implications of variations in 
project outcome, both positive and negative.
organizations perceive risk as the effect of uncertainty on projects and organizational objectives. organizations 
and stakeholders are willing to accept varying degrees of risk depending on their risk attitude. the risk attitudes of 
both the organization and the stakeholders may be influenced by a number of factors, which are broadly classified 
into three themes:
•	 risk appetite, which is the degree of uncertainty an entity is willing to take on in anticipation of a reward.
•	  risk tolerance, which is the degree, amount, or volume of risk that an organization or individual will 
withstand.
•	  risk threshold, which refers to measures along the level of uncertainty or the level of impact at which a 
stakeholder may have a specific interest below that risk threshold, the organization will accept the risk. 
above that risk threshold, the organization will not tolerate the risk.
for example, an organization risk attitude may include its appetite for uncertainty, its threshold for risk levels 
that are unacceptable, or its risk tolerance at which point the organization may select a different risk response.
positive and negative risks are commonly referred to as opportunities and threats. the project may be accepted 
if the risks are within tolerances and are in balance with the rewards that may be gained by taking the risks. positive 
risks that offer opportunities within the limits of risk tolerances may be pursued in order to generate enhanced 
value. for example, adopting an aggressive resource optimization technique is a risk taken in anticipation of a 
reward for using fewer resources.
individuals and groups adopt attitudes toward risk that influence the way they respond. these risk attitudes are 

driven by perception, tolerances, and other biases, which should be made explicit wherever possible. a consistent 
approach to risk should be developed for each project, and communication about risk and its handling should 
be open and honest. risk responses reflect an organization perceived balance between risk taking and risk 
avoidance.
to be successful, an organization should be committed to address risk management proactively and consistently 
throughout the project. a conscious choice should be made at all levels of the organization to actively identify and 
pursue effective risk management during the life of the project. project risk could exist at the moment a project 
is initiated. moving forward on a project without a proactive focus on risk management is likely to lead to more 
problems arising from unmanaged threats.
1.1 plan risk management
plan risk management is the process of defining how to conduct risk management activities for a project. the 
key benefit of this process is it ensures that the degree, type, and visibility of risk management are commensurate 
with both the risks and the importance of the project to the organization. the risk management plan is vital to 
communicate with and obtain agreement and support from all stakeholders to ensure the risk management process 
is supported and performed effectively over the project life cycle. the inputs, tools and techniques, and outputs of 
this process are depicted in figure 11-2. figure 11-3 depicts the data flow diagram of the process.
careful and explicit planning enhances the probability of success for other risk management processes. planning 
is also important to provide sufficient resources and time for risk management activities and to establish an agreed-
upon basis for evaluating risks. the plan risk management process should begin when a project is conceived and 
should be completed early during project planning.",Stakeholder_Register,"the stakeholder register, which contains all details related to the Project_Stakeholders, provides an overview of their roles .","{0: {'about': 'stakeholder register', 'description': 'described in section 13.1.3.1. '}}"
3,plan Risk_Management ,inputs,"project risk management includes the processes of conducting risk management planning, identification, 
analysis, response planning, and controlling risk on a project. the objectives of project risk management are to 
increase the likelihood and impact of positive events, and decrease the likelihood and impact of negative events 
in the project.
figure 11-1 provides an overview of the project risk management processes, which are as follows:
11.1  plan risk management—the process of defining how to conduct risk management activities for a 
project.
11.2  identify risks—the process of determining which risks may affect the project and documenting 

their characteristics.
11.3  perform qualitative risk analysis—the process of prioritizing risks for further analysis or action 
by assessing and combining their probability of occurrence and impact.
11.4  perform quantitative risk analysis—the process of numerically analyzing the effect of identified 
risks on overall project objectives.
11.5  plan risk responses—the process of developing options and actions to enhance opportunities and 
to reduce threats to project objectives.
11.6  control risks—the process of implementing risk response plans, tracking identified risks, monitoring 
residual risks, identifying new risks, and evaluating risk process effectiveness throughout the project.
these processes interact with each other and with processes in other knowledge areas as described in detail 
in section 3 and annex a1.
project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on one or 
more project objectives such as scope, schedule, cost, and quality. a risk may have one or more causes and, 
if it occurs, it may have one or more impacts. a cause may be a given or potential requirement, assumption, 
constraint, or condition that creates the possibility of negative or positive outcomes. for example, causes could 
include the requirement of an environmental permit to do work, or having limited personnel assigned to design the 
project. the risk is that the permitting agency may take longer than planned to issue a permit; or, in the case of 
an opportunity, additional development personnel may become available who can participate in design, and they 
can be assigned to the project. if either of these uncertain events occurs, there may be an impact on the project, 
scope, cost, schedule, quality, or performance. risk conditions may include aspects of the project or organization 
environment that contribute to project risksuch as immature project management practices, lack of integrated 
management systems, concurrent multiple projects, or dependency on external participants who are outside the 
project direct control.
project risk has its origins in the uncertainty present in all projects. known risks are those that have been 
identified and analyzed, making it possible to plan responses for those risks. known risks that cannot be managed 
proactively, should be assigned a contingency reserve. unknown risks cannot be managed proactively and therefore 
may be assigned a management reserve. a negative project risk that has occurred is considered an issue.
individual project risks are different from overall project risk. overall project risk represents the effect of 
uncertainty on the project as a whole. it is more than the sum of the individual risks within a project, since it includes 
all sources of project uncertainty. it represents the exposure of stakeholders to the implications of variations in 
project outcome, both positive and negative.
organizations perceive risk as the effect of uncertainty on projects and organizational objectives. organizations 
and stakeholders are willing to accept varying degrees of risk depending on their risk attitude. the risk attitudes of 
both the organization and the stakeholders may be influenced by a number of factors, which are broadly classified 
into three themes:
•	 risk appetite, which is the degree of uncertainty an entity is willing to take on in anticipation of a reward.
•	  risk tolerance, which is the degree, amount, or volume of risk that an organization or individual will 
withstand.
•	  risk threshold, which refers to measures along the level of uncertainty or the level of impact at which a 
stakeholder may have a specific interest below that risk threshold, the organization will accept the risk. 
above that risk threshold, the organization will not tolerate the risk.
for example, an organization risk attitude may include its appetite for uncertainty, its threshold for risk levels 
that are unacceptable, or its risk tolerance at which point the organization may select a different risk response.
positive and negative risks are commonly referred to as opportunities and threats. the project may be accepted 
if the risks are within tolerances and are in balance with the rewards that may be gained by taking the risks. positive 
risks that offer opportunities within the limits of risk tolerances may be pursued in order to generate enhanced 
value. for example, adopting an aggressive resource optimization technique is a risk taken in anticipation of a 
reward for using fewer resources.
individuals and groups adopt attitudes toward risk that influence the way they respond. these risk attitudes are 

driven by perception, tolerances, and other biases, which should be made explicit wherever possible. a consistent 
approach to risk should be developed for each project, and communication about risk and its handling should 
be open and honest. risk responses reflect an organization perceived balance between risk taking and risk 
avoidance.
to be successful, an organization should be committed to address risk management proactively and consistently 
throughout the project. a conscious choice should be made at all levels of the organization to actively identify and 
pursue effective risk management during the life of the project. project risk could exist at the moment a project 
is initiated. moving forward on a project without a proactive focus on risk management is likely to lead to more 
problems arising from unmanaged threats.
1.1 plan risk management
plan risk management is the process of defining how to conduct risk management activities for a project. the 
key benefit of this process is it ensures that the degree, type, and visibility of risk management are commensurate 
with both the risks and the importance of the project to the organization. the risk management plan is vital to 
communicate with and obtain agreement and support from all stakeholders to ensure the risk management process 
is supported and performed effectively over the project life cycle. the inputs, tools and techniques, and outputs of 
this process are depicted in figure 11-2. figure 11-3 depicts the data flow diagram of the process.
careful and explicit planning enhances the probability of success for other risk management processes. planning 
is also important to provide sufficient resources and time for risk management activities and to establish an agreed-
upon basis for evaluating risks. the plan risk management process should begin when a project is conceived and 
should be completed early during project planning.",Enterprise_Environmental_Factors,"the Enterprise_Environmental_Factors that can influence the Plan_Risk_Management_Process include Risk_Attitudes, thresholds, and tolerances that describe the degree of risk that an organization will withstand.","{0: {'about': 'enterprise environmental factors', 'description': 'described in section 2.1.5. '}}"
4,plan Risk_Management ,inputs,"project risk management includes the processes of conducting risk management planning, identification, 
analysis, response planning, and controlling risk on a project. the objectives of project risk management are to 
increase the likelihood and impact of positive events, and decrease the likelihood and impact of negative events 
in the project.
figure 11-1 provides an overview of the project risk management processes, which are as follows:
11.1  plan risk management—the process of defining how to conduct risk management activities for a 
project.
11.2  identify risks—the process of determining which risks may affect the project and documenting 

their characteristics.
11.3  perform qualitative risk analysis—the process of prioritizing risks for further analysis or action 
by assessing and combining their probability of occurrence and impact.
11.4  perform quantitative risk analysis—the process of numerically analyzing the effect of identified 
risks on overall project objectives.
11.5  plan risk responses—the process of developing options and actions to enhance opportunities and 
to reduce threats to project objectives.
11.6  control risks—the process of implementing risk response plans, tracking identified risks, monitoring 
residual risks, identifying new risks, and evaluating risk process effectiveness throughout the project.
these processes interact with each other and with processes in other knowledge areas as described in detail 
in section 3 and annex a1.
project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on one or 
more project objectives such as scope, schedule, cost, and quality. a risk may have one or more causes and, 
if it occurs, it may have one or more impacts. a cause may be a given or potential requirement, assumption, 
constraint, or condition that creates the possibility of negative or positive outcomes. for example, causes could 
include the requirement of an environmental permit to do work, or having limited personnel assigned to design the 
project. the risk is that the permitting agency may take longer than planned to issue a permit; or, in the case of 
an opportunity, additional development personnel may become available who can participate in design, and they 
can be assigned to the project. if either of these uncertain events occurs, there may be an impact on the project, 
scope, cost, schedule, quality, or performance. risk conditions may include aspects of the project or organization 
environment that contribute to project risksuch as immature project management practices, lack of integrated 
management systems, concurrent multiple projects, or dependency on external participants who are outside the 
project direct control.
project risk has its origins in the uncertainty present in all projects. known risks are those that have been 
identified and analyzed, making it possible to plan responses for those risks. known risks that cannot be managed 
proactively, should be assigned a contingency reserve. unknown risks cannot be managed proactively and therefore 
may be assigned a management reserve. a negative project risk that has occurred is considered an issue.
individual project risks are different from overall project risk. overall project risk represents the effect of 
uncertainty on the project as a whole. it is more than the sum of the individual risks within a project, since it includes 
all sources of project uncertainty. it represents the exposure of stakeholders to the implications of variations in 
project outcome, both positive and negative.
organizations perceive risk as the effect of uncertainty on projects and organizational objectives. organizations 
and stakeholders are willing to accept varying degrees of risk depending on their risk attitude. the risk attitudes of 
both the organization and the stakeholders may be influenced by a number of factors, which are broadly classified 
into three themes:
•	 risk appetite, which is the degree of uncertainty an entity is willing to take on in anticipation of a reward.
•	  risk tolerance, which is the degree, amount, or volume of risk that an organization or individual will 
withstand.
•	  risk threshold, which refers to measures along the level of uncertainty or the level of impact at which a 
stakeholder may have a specific interest below that risk threshold, the organization will accept the risk. 
above that risk threshold, the organization will not tolerate the risk.
for example, an organization risk attitude may include its appetite for uncertainty, its threshold for risk levels 
that are unacceptable, or its risk tolerance at which point the organization may select a different risk response.
positive and negative risks are commonly referred to as opportunities and threats. the project may be accepted 
if the risks are within tolerances and are in balance with the rewards that may be gained by taking the risks. positive 
risks that offer opportunities within the limits of risk tolerances may be pursued in order to generate enhanced 
value. for example, adopting an aggressive resource optimization technique is a risk taken in anticipation of a 
reward for using fewer resources.
individuals and groups adopt attitudes toward risk that influence the way they respond. these risk attitudes are 

driven by perception, tolerances, and other biases, which should be made explicit wherever possible. a consistent 
approach to risk should be developed for each project, and communication about risk and its handling should 
be open and honest. risk responses reflect an organization perceived balance between risk taking and risk 
avoidance.
to be successful, an organization should be committed to address risk management proactively and consistently 
throughout the project. a conscious choice should be made at all levels of the organization to actively identify and 
pursue effective risk management during the life of the project. project risk could exist at the moment a project 
is initiated. moving forward on a project without a proactive focus on risk management is likely to lead to more 
problems arising from unmanaged threats.
1.1 plan risk management
plan risk management is the process of defining how to conduct risk management activities for a project. the 
key benefit of this process is it ensures that the degree, type, and visibility of risk management are commensurate 
with both the risks and the importance of the project to the organization. the risk management plan is vital to 
communicate with and obtain agreement and support from all stakeholders to ensure the risk management process 
is supported and performed effectively over the project life cycle. the inputs, tools and techniques, and outputs of 
this process are depicted in figure 11-2. figure 11-3 depicts the data flow diagram of the process.
careful and explicit planning enhances the probability of success for other risk management processes. planning 
is also important to provide sufficient resources and time for risk management activities and to establish an agreed-
upon basis for evaluating risks. the plan risk management process should begin when a project is conceived and 
should be completed early during project planning.",Organizational_Process_Assets,"the Organizational_Process_Assets that can influence the Plan_Risk_Management_Process include Risk_Categories,. the Organizational_Process_Assets that can influence the Plan_Risk_Management_Process include common definitions of concepts and terms,. the Organizational_Process_Assets that can influence the Plan_Risk_Management_Process include Risk_Statement_Formats,. the Organizational_Process_Assets that can influence the Plan_Risk_Management_Process include standard templates,. the Organizational_Process_Assets that can influence the Plan_Risk_Management_Process include roles and responsibilities,. the Organizational_Process_Assets that can influence the Plan_Risk_Management_Process include Authority_Levels for Decision_Making, and. the Organizational_Process_Assets that can influence the Plan_Risk_Management_Process include lessons learned","{0: {'about': 'organizational process assets', 'description': 'described in section 2.1.4. '}}"
5,plan Risk_Management ,tools and techniques,"project risk management includes the processes of conducting risk management planning, identification, 
analysis, response planning, and controlling risk on a project. the objectives of project risk management are to 
increase the likelihood and impact of positive events, and decrease the likelihood and impact of negative events 
in the project.
figure 11-1 provides an overview of the project risk management processes, which are as follows:
11.1  plan risk management—the process of defining how to conduct risk management activities for a 
project.
11.2  identify risks—the process of determining which risks may affect the project and documenting 

their characteristics.
11.3  perform qualitative risk analysis—the process of prioritizing risks for further analysis or action 
by assessing and combining their probability of occurrence and impact.
11.4  perform quantitative risk analysis—the process of numerically analyzing the effect of identified 
risks on overall project objectives.
11.5  plan risk responses—the process of developing options and actions to enhance opportunities and 
to reduce threats to project objectives.
11.6  control risks—the process of implementing risk response plans, tracking identified risks, monitoring 
residual risks, identifying new risks, and evaluating risk process effectiveness throughout the project.
these processes interact with each other and with processes in other knowledge areas as described in detail 
in section 3 and annex a1.
project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on one or 
more project objectives such as scope, schedule, cost, and quality. a risk may have one or more causes and, 
if it occurs, it may have one or more impacts. a cause may be a given or potential requirement, assumption, 
constraint, or condition that creates the possibility of negative or positive outcomes. for example, causes could 
include the requirement of an environmental permit to do work, or having limited personnel assigned to design the 
project. the risk is that the permitting agency may take longer than planned to issue a permit; or, in the case of 
an opportunity, additional development personnel may become available who can participate in design, and they 
can be assigned to the project. if either of these uncertain events occurs, there may be an impact on the project, 
scope, cost, schedule, quality, or performance. risk conditions may include aspects of the project or organization 
environment that contribute to project risksuch as immature project management practices, lack of integrated 
management systems, concurrent multiple projects, or dependency on external participants who are outside the 
project direct control.
project risk has its origins in the uncertainty present in all projects. known risks are those that have been 
identified and analyzed, making it possible to plan responses for those risks. known risks that cannot be managed 
proactively, should be assigned a contingency reserve. unknown risks cannot be managed proactively and therefore 
may be assigned a management reserve. a negative project risk that has occurred is considered an issue.
individual project risks are different from overall project risk. overall project risk represents the effect of 
uncertainty on the project as a whole. it is more than the sum of the individual risks within a project, since it includes 
all sources of project uncertainty. it represents the exposure of stakeholders to the implications of variations in 
project outcome, both positive and negative.
organizations perceive risk as the effect of uncertainty on projects and organizational objectives. organizations 
and stakeholders are willing to accept varying degrees of risk depending on their risk attitude. the risk attitudes of 
both the organization and the stakeholders may be influenced by a number of factors, which are broadly classified 
into three themes:
•	 risk appetite, which is the degree of uncertainty an entity is willing to take on in anticipation of a reward.
•	  risk tolerance, which is the degree, amount, or volume of risk that an organization or individual will 
withstand.
•	  risk threshold, which refers to measures along the level of uncertainty or the level of impact at which a 
stakeholder may have a specific interest below that risk threshold, the organization will accept the risk. 
above that risk threshold, the organization will not tolerate the risk.
for example, an organization risk attitude may include its appetite for uncertainty, its threshold for risk levels 
that are unacceptable, or its risk tolerance at which point the organization may select a different risk response.
positive and negative risks are commonly referred to as opportunities and threats. the project may be accepted 
if the risks are within tolerances and are in balance with the rewards that may be gained by taking the risks. positive 
risks that offer opportunities within the limits of risk tolerances may be pursued in order to generate enhanced 
value. for example, adopting an aggressive resource optimization technique is a risk taken in anticipation of a 
reward for using fewer resources.
individuals and groups adopt attitudes toward risk that influence the way they respond. these risk attitudes are 

driven by perception, tolerances, and other biases, which should be made explicit wherever possible. a consistent 
approach to risk should be developed for each project, and communication about risk and its handling should 
be open and honest. risk responses reflect an organization perceived balance between risk taking and risk 
avoidance.
to be successful, an organization should be committed to address risk management proactively and consistently 
throughout the project. a conscious choice should be made at all levels of the organization to actively identify and 
pursue effective risk management during the life of the project. project risk could exist at the moment a project 
is initiated. moving forward on a project without a proactive focus on risk management is likely to lead to more 
problems arising from unmanaged threats.
1.1 plan risk management
plan risk management is the process of defining how to conduct risk management activities for a project. the 
key benefit of this process is it ensures that the degree, type, and visibility of risk management are commensurate 
with both the risks and the importance of the project to the organization. the risk management plan is vital to 
communicate with and obtain agreement and support from all stakeholders to ensure the risk management process 
is supported and performed effectively over the project life cycle. the inputs, tools and techniques, and outputs of 
this process are depicted in figure 11-2. figure 11-3 depicts the data flow diagram of the process.
careful and explicit planning enhances the probability of success for other risk management processes. planning 
is also important to provide sufficient resources and time for risk management activities and to establish an agreed-
upon basis for evaluating risks. the plan risk management process should begin when a project is conceived and 
should be completed early during project planning.",Analytical_Techniques,"Analytical_Techniques are used to understand and define the overall Risk_Management_Context of the project. Risk_Management_Context is a combination of Stakeholder_Risk_Attitudes and the strategic Risk_Exposure of a given project based on the overall Project_Context. for example, a Stakeholder_Risk_Profile_Analysis may be performed to grade and qualify the Project_Stakeholder_Risk_Appetite and tolerance. other techniquessuch as the use of strategic Risk_Scoring_Sheets, are used to provide a Highlevel_Assessment of the Risk_Exposure of the project based on the overall Project_Context. depending on these assessments, the Project_Team can allocate appropriate resources and focus on the Risk_Management_Activities .",{}
